Provinsi,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_penerima_bantuan_iuran_(pbi)_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_non-penerima_bantuan_iuran_(non-pbi)_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_jamkesda_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_asuransi_swasta_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_perusahaan/kantor_ratio,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_punya_biaya_berobat_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_biaya_transport_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_sarana_transportasi_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_waktu_tunggu_pelayanan_lama_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_mengobati_sendiri_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_yang_mendampingi_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_merasa_tidak_perlu_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_lainnya_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_jumlah_ratio,Tenaga Medis,Tenaga Kebidanan,Tenaga Kefarmasian,Tenaga Kesehatan Masyarakat,Tenaga Kesehatan Lingkungan,Tenaga Gizi,Jumlah Tenaga Medis,Jumlah Tenaga Kesehatan Psikologi Klinis,Jumlah Tenaga Keterapian Fisik,Jumlah Tenaga Keteknisan Medis,Jumlah Tenaga Teknik Biomedika,Jumlah Tenaga Kesehatan Tradisional,facility_index,workforce_index,disease_burden_index,insurance_coverage_index
Kalimantan Tengah,31,3.0,85,120,0.3926,0.28059999999999996,0.0121,0.0021,0.0313,77,77,485,12.69375,0.12,40.84,0.0083,0.0050125,0.004025,0.6960999999999999,0.2854,0.006325,0.005995238095238094,0.0072,1.0,8,5,2,738,322,584,2,25,145,617,1,27.130434782608695,102.5,206.34420289855072,115.44229166666668,0.14374
Kalimantan Selatan,44,8.0,52,190,0.4416,0.2985,0.0031,0.002,0.029300000000000003,77,78,662,3.02,0.05,13.65,0.00591304347826087,0.0050125,0.0032,0.7508,0.22920000000000001,0.006325,0.0032,0.0024,1.0,10,6,3,1,657,1,3,57,265,2,2,3.0,121.0,84.16666666666667,138.95333333333332,0.15489999999999998
Kalimantan Timur,54,12.0,91,97,0.39189999999999997,0.4359,0.0023,0.0109,0.07440000000000001,52,83,1294,2.76,0.24,144.77,0.00591304347826087,0.0050125,0.004025,0.5901,0.3764,0.006325,0.0139,0.0095,1.0,11,5,4,1,390,496,4,41,406,950,2,6.0,94.0,193.0,262.795,0.18308
Kalimantan Utara,17,16.0625,20,38,0.5521,0.3319,0.06816176470588235,0.003958064516129033,0.019799999999999998,64,69,208,6.14,0.08,35.5,0.00591304347826087,0.0050125,0.004025,0.7006,0.2622,0.006325,0.0059,0.0175,1.0,3,1,708,356,126,144,744,6,51,223,357,27.130434782608695,29.0,228.84420289855072,63.78666666666666,0.19518396584440229
Sulawesi Utara,52,8.0,99,104,0.5047,0.32689999999999997,0.0032,0.0016,0.024900000000000002,67,82,812,15.11,0.37,57.95,0.0028000000000000004,0.0050125,0.004025,0.7265999999999999,0.2534,0.006325,0.005995238095238094,0.009899999999999999,1.0,10,3,2,1,552,720,3,17,217,643,904,1.0,101.5,256.0833333333333,172.405,0.17226000000000002
Sulawesi Tengah,37,4.0,125,94,0.595,0.1966,0.0229,0.0005,0.0132,84,80,732,8.65,0.41,35.61,0.0051,0.0018,0.004025,0.6209,0.3567,0.0029,0.005995238095238094,0.0104,1.0,9,7,2,3,714,688,2,32,135,570,1,2.0,109.5,180.41666666666666,156.77833333333334,0.16563999999999998
Sulawesi Selatan,100,24.0,306,168,0.6113000000000001,0.2492,0.0052,0.0028000000000000004,0.0169,65,84,1954,8.27,0.21,45.81,0.0034999999999999996,0.0009,0.0007000000000000001,0.6341,0.34490000000000004,0.0018,0.0058,0.008199999999999999,1.0,27,20,6,5,1,2,7,21,615,3,4,5.0,237.0,59.666666666666664,359.54833333333335,0.17708000000000002
Sulawesi Tenggara,39,4.0,109,199,0.59,0.2242,0.0288,0.0005,0.0173,72,81,600,6.69,0.23,41.03,0.0028000000000000004,0.0050125,0.004025,0.726,0.2506,0.006325,0.005995238095238094,0.0177,1.0,10,8,3,4,795,1,2,16,129,1,2,27.130434782608695,154.0,83.17753623188406,133.49166666666667,0.17216
Gorontalo,21,1.0,24,71,0.6994,0.17149999999999999,0.0014000000000000002,0.003,0.016200000000000003,77,88,235,16.58,1.89,54.5,0.00591304347826087,0.0050125,0.004025,0.7916,0.2004,0.006325,0.005995238095238094,0.004699999999999999,1.0,4,2,731,1,248,579,750,3,39,238,501,27.130434782608695,47.5,260.2608695652174,78.82833333333333,0.1783
Sulawesi Barat,14,2.0,59,39,0.6611,0.2002,0.2125,0.003958064516129033,0.0033,80,87,130,13.26,0.07,77.62,0.0070999999999999995,0.0050125,0.004025,0.6083,0.3614,0.006325,0.005995238095238094,0.0165,1.0,4,4,692,947,278,340,665,1,57,182,353,27.130434782608695,49.0,295.8442028985507,64.65833333333333,0.2162116129032258
Maluku,28,1.0,94,147,0.3969,0.23620000000000002,0.0235,0.0019,0.012199999999999999,63,85,734,23.02,1.67,8.07,0.0064,0.0025,0.004025,0.5941,0.3834,0.006325,0.005995238095238094,0.0109,1.0,7,4,946,2,661,747,1,11,63,246,825,27.130434782608695,120.5,295.0108695652174,152.46,0.13413999999999998
Maluku Utara,21,2.0,57,93,0.3697,0.2072,0.1746,0.0013,0.019,80,75,675,56.48,0.22,22.49,0.0059,0.0067,0.004025,0.6151,0.3594,0.006325,0.005995238095238094,0.0118,1.0,4,4,772,2,319,496,838,3,56,262,812,27.130434782608695,75.0,299.5942028985507,151.53166666666667,0.15436
Papua Barat,14,16.0625,26,55,0.5445,0.17079999999999998,0.0601,0.003958064516129033,0.0108,88,73,1099,64.97,18.63,3.4,0.00591304347826087,0.0050125,0.004025,0.6067,0.3298,0.006325,0.005995238095238094,0.0353,1.0,2,1,451,339,90,186,442,3,26,96,332,1.0,40.5,164.08333333333334,224.50000000000003,0.15803161290322582
Papua Barat Daya,12,16.0625,18,101,0.6448,0.1902,0.0064,0.003958064516129033,0.0334,82,67,529,86.89,11.53,53.03083333333334,0.00591304347826087,0.0050125,0.004025,0.598,0.3503,0.006325,0.0144,0.0126,1.0,2,1,415,427,144,238,428,3,13,81,228,27.130434782608695,59.5,167.2608695652174,138.24180555555554,0.1757516129032258
Papua,18,1.0,44,79,0.4421,0.2667,0.10279999999999999,0.002,0.023,58,75,2997,12.69375,269.44,2.14,0.00591304347826087,0.008199999999999999,0.004025,0.6664,0.2808,0.006325,0.005995238095238094,0.0352,1.0,4,2,963,661,240,333,928,2,41,159,789,27.130434782608695,61.5,345.76086956521743,569.045625,0.16732
Papua Selatan,8,16.0625,59,26,0.5159,0.1796,0.22940000000000002,0.003958064516129033,0.012,81,80,295,26.54,146.93,25.65,0.00591304347826087,0.0050125,0.004025,0.4999,0.4443,0.0232,0.005995238095238094,0.01597058823529412,1.0,2,992,272,272,90,125,324,2,17,67,231,27.130434782608695,42.5,201.76086956521738,109.18666666666667,0.18817161290322582
Papua Tengah,14,16.0625,29,98,0.3103,0.0909,0.33759999999999996,0.0026,0.0394,72,77,2057,9.88,133.67,9.34,0.0175,0.0050125,0.004025,0.4855,0.4232,0.006325,0.005995238095238094,0.0672,1.0,3,1,501,492,196,150,523,4,21,97,404,27.130434782608695,63.5,201.59420289855072,393.14833333333337,0.15616
Papua Pegunungan,8,16.0625,23,160,0.4907,0.1114,0.4866,0.003958064516129033,0.023902702702702706,41,56,551,12.69375,36.42,53.03083333333334,0.00591304347826087,0.034300000000000004,0.0274,0.6940999999999999,0.1841,0.0134,0.005995238095238094,0.024300000000000002,1.0,1,613,202,316,74,74,221,1,5,20,144,64.0,91.5,144.58333333333334,125.02409722222222,0.22331215344376637
