province_id,Provinsi,indicator,value
5,DI Yogyakarta,Jumlah Tenaga Keteknisan Medis,2.0
5,DI Yogyakarta,Jumlah Tenaga Keterapian Fisik,599.0
5,DI Yogyakarta,Jumlah Tenaga Medis,6.0
5,DI Yogyakarta,Jumlah Tenaga Teknik Biomedika,2.0
5,DI Yogyakarta,Tenaga Gizi,634.0
5,DI Yogyakarta,Tenaga Kebidanan,3.0
5,DI Yogyakarta,Tenaga Kefarmasian,5.0
5,DI Yogyakarta,Tenaga Kesehatan Lingkungan,398.0
5,DI Yogyakarta,Tenaga Kesehatan Masyarakat,490.0
5,DI Yogyakarta,Tenaga Medis,12.0
5,DI Yogyakarta,disease_burden_index,193.0183333333333
5,DI Yogyakarta,facility_index,60.5
5,DI Yogyakarta,insurance_coverage_index,0.18372
5,DI Yogyakarta,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_asuransi_swasta_ratio,0.0078
5,DI Yogyakarta,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_non-penerima_bantuan_iuran_(non-pbi)_ratio,0.3043
5,DI Yogyakarta,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_penerima_bantuan_iuran_(pbi)_ratio,0.5864
5,DI Yogyakarta,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_jamkesda_ratio,0.002
5,DI Yogyakarta,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_perusahaan/kantor_ratio,0.0181
5,DI Yogyakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_jumlah_ratio,1.0
5,DI Yogyakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_lainnya_ratio,0.0141
5,DI Yogyakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_mengobati_sendiri_ratio,0.2376
5,DI Yogyakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_merasa_tidak_perlu_ratio,0.0089
5,DI Yogyakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_biaya_transport_ratio,0.0050125
5,DI Yogyakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_sarana_transportasi_ratio,0.004025
5,DI Yogyakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_yang_mendampingi_ratio,0.006325
5,DI Yogyakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_punya_biaya_berobat_ratio,0.0059130434782608
5,DI Yogyakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_waktu_tunggu_pelayanan_lama_ratio,0.7341
5,DI Yogyakarta,workforce_capacity_index,194.41666666666663
6,DKI Jakarta,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,78.0
6,DKI Jakarta,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk,95.17
6,DKI Jakarta,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,0.05
6,DKI Jakarta,Jumlah Kasus Penyakit - Angka Penemuan TBC,86.0
6,DKI Jakarta,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,4353.0
6,DKI Jakarta,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,4.44
6,DKI Jakarta,Jumlah Puskesmas Non Rawat Inap,42.0
6,DKI Jakarta,Jumlah Puskesmas Rawat Inap,2.0
6,DKI Jakarta,Jumlah Rumah Sakit Khusus,52.0
6,DKI Jakarta,Jumlah Rumah Sakit Umum,142.0
