,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Kepulauan Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua Barat Daya,Papua,Papua Selatan,Papua Tengah,Papua Pegunungan
DKI Jakarta,0.8372609982640085,0.44233587194622803,0.8339761907107587,0.7323802167007659,0.4131008610449479,0.6407833190953899,0.6121875525091024,0.7064166493247113,0.8595908553703486,0.7876905761553693,1.0,0.400272537753036,0.41008688374832075,0.8540307417350763,0.4691687567288534,0.7672135128486599,0.9371237952384399,0.8872443794053863,0.5655458848796378,0.5913723394761976,0.4472009966215305,0.766020454287598,0.8599050733984561,0.8273244863299535,0.703969221643833,0.7439003908529743,0.7862236295891726,0.8291512338809569,0.7231172761082352,0.8301083921691026,0.3035127943100564,0.5172513353894926,0.7537123716672938,0.8413962862472811,0.6567164504687346,0.8423540673243194,0.7018937602492509,0.9165984758990622
Jawa Barat,0.4247422211096579,0.8624716758044306,0.5028021030125999,0.47221275559120246,0.30763564809795196,0.7832653218981198,0.2557874354092334,0.5231872675138802,0.1696132259755006,0.2244144648390993,0.400272537753036,1.0000000000000002,0.9941812250783739,0.26286917004536414,0.9906955886472922,0.5192952998068686,0.3829830814173207,0.4554661065189483,0.818793155985015,0.5196422017616626,0.2908790604201104,0.5804341168551409,0.3528845938497842,0.1438593680952842,0.28733203425780274,0.36526612000905095,0.7306803065709264,0.5255558066360551,0.1633151454319668,0.16429934629274073,0.2456316450509071,0.20136685712717411,0.2744225584962056,0.2543608716118519,0.3102977025530059,0.18915103609748402,0.3770622152641466,0.255914543099019
Jawa Tengah,0.48828638424079923,0.8816047542655839,0.5598115860182137,0.5060509724382294,0.33209462125991496,0.8374154895405467,0.28985183452368063,0.5601963996376321,0.20895446663571454,0.25285816397945454,0.41008688374832075,0.9941812250783739,1.0,0.2970155633457604,0.9741625827213385,0.5362271313331722,0.405339675260471,0.5032654448185069,0.8707098875969559,0.5444612175349067,0.31202659861548426,0.6315021952816269,0.38651302135574794,0.18221646128051838,0.3176926198874685,0.4020700276268473,0.7783789690178265,0.5844385550007292,0.19507365276311972,0.20427351856833334,0.2554166289271112,0.2181437193252633,0.291252198898484,0.2916490792559957,0.312022720920264,0.22691406919651025,0.38130290999635086,0.3058415367822931
DI Yogyakarta,0.7803206934764351,0.5671192594342903,0.9035663746900975,0.9429191754330604,0.7867936739235654,0.6441060023753585,0.9239980833714798,0.9179009178584947,0.9915574152690431,0.989069858906888,0.8540307417350763,0.26286917004536414,0.2970155633457604,1.0000000000000002,0.29742702550097,0.9298768675061183,0.9775613932889999,0.9469264926013813,0.48857079651946095,0.8540090921736462,0.8084808800959776,0.8967660729164738,0.9953854368791525,0.9921938018176606,0.9606647270767954,0.9695838336474524,0.725266344293845,0.873138062290099,0.9730989341084576,0.9938307444093941,0.6953780975749307,0.8558143994987545,0.9638054250782018,0.9994378726725549,0.8909651211314716,0.9966240695161627,0.9092192429030387,0.9194733599886801
Jawa Timur,0.42067784754387866,0.8373143747434645,0.4993675102252226,0.48242865081642305,0.3031176617400566,0.7481734104467341,0.2650029527510067,0.5246994737491345,0.20488143056887514,0.25974276788933764,0.4691687567288534,0.9906955886472922,0.9741625827213385,0.29742702550097,0.9999999999999998,0.5479248383565437,0.4320337857093728,0.469465925699837,0.7772126724670465,0.5216882202143566,0.29419714991996465,0.5712235480360935,0.3835631944439517,0.17803044636410517,0.30823798845048955,0.37953518006040715,0.7202821379017311,0.5187047018989069,0.19180604298159587,0.19596559015490586,0.24834144802699207,0.2214098186996745,0.31519816139054374,0.28483550902800053,0.3543988027413671,0.2229682908619915,0.4196213507095778,0.2825481614060338
Banten,0.6607381396355563,0.7987856463452482,0.8596536570436297,0.9862756115136697,0.8890735797992135,0.7180836318349247,0.9397480513829287,0.9783575400346118,0.8744450360926757,0.9424094145338892,0.7672135128486599,0.5192952998068686,0.5362271313331722,0.9298768675061183,0.5479248383565437,1.0000000000000002,0.9264037248722173,0.890624226745496,0.5688654672118555,0.9686816742365517,0.9013446945651338,0.9196437251762911,0.9539766170891467,0.8825580182597446,0.9628046460014852,0.9723303964455158,0.7490486799073661,0.8274896447632027,0.9238302298721823,0.8877757012928712,0.8252641447091513,0.906402829304152,0.9634366488170201,0.9263742610949289,0.953098972526678,0.8984598868934861,0.9751890160864066,0.7677963831824467
Bali,0.8159763753966266,0.593045410927375,0.9110308876775687,0.9151479128988897,0.6988485599244473,0.68872605272174,0.8495639654122839,0.89186171346135,0.9644907586933429,0.949117816428066,0.9371237952384399,0.3829830814173207,0.405339675260471,0.9775613932889999,0.4320337857093728,0.9264037248722173,1.0,0.9582973150780595,0.5584343894969834,0.8159320992592785,0.72474175765366,0.8934826993526451,0.9827268433752723,0.9536945209546692,0.9072536969463585,0.9288053728978372,0.7894369443971632,0.8887741555117203,0.9124620329323132,0.9565433760333971,0.6017144630364705,0.7750052341298513,0.9289365372551304,0.9714898472903919,0.8560720029849105,0.9648993638738468,0.8866031347370612,0.9324410400466902
Nusa Tenggara Barat,0.9261674940677306,0.6630090470157282,0.9904343691717981,0.9167600976582368,0.6733533281988684,0.8370190029227844,0.8247768791670602,0.9124075182430073,0.9382242963012103,0.898048843455545,0.8872443794053863,0.4554661065189483,0.5032654448185069,0.9469264926013813,0.469465925699837,0.890624226745496,0.9582973150780595,0.9999999999999999,0.7311691723488122,0.810763595435324,0.6850394996201807,0.9655064832236419,0.9629209455389688,0.9204617538134593,0.8721274087114236,0.9207068036418554,0.9027235179824855,0.9815887862716938,0.863972210722885,0.9301077185158856,0.5415085665318911,0.7054346105157357,0.8557106453961013,0.9482021027769784,0.7561597514264337,0.9353098060462122,0.7999379007190691,0.9608991939026394
Nusa Tenggara Timur,0.8120563118997131,0.7864465311779756,0.8022608395812743,0.603569883047653,0.3327415435706807,0.9779096097251334,0.39631355954281045,0.6530368798049884,0.45119983372639255,0.40392355874717656,0.5655458848796378,0.818793155985015,0.8707098875969559,0.48857079651946095,0.7772126724670465,0.5688654672118555,0.5584343894969834,0.7311691723488122,1.0,0.5527518991032032,0.31236256147156843,0.8006704185138845,0.5564054145902037,0.41260104496933225,0.431173621270777,0.5378770360718708,0.9480354550507601,0.834725062334146,0.3516904770867802,0.43700697433642244,0.18569224850780974,0.24162628044619136,0.37195950043445714,0.49326681538171796,0.29594850461876865,0.44854210639322745,0.37372246107417273,0.6143586305628906
Kalimantan Barat,0.5589137752323747,0.856429716975468,0.8005711688740761,0.9745257353839881,0.959821915967906,0.7071452003761386,0.9537028128117788,0.9784287149061758,0.7846205042484428,0.8880362192688578,0.5913723394761976,0.5196422017616626,0.5444612175349067,0.8540090921736462,0.5216882202143566,0.9686816742365517,0.8159320992592785,0.810763595435324,0.5527518991032032,0.9999999999999998,0.9594390658844852,0.8971127587179172,0.8842088244021181,0.8045924504175864,0.9469919605820308,0.9514021826675454,0.6854917182851874,0.7653310309363278,0.8889202446292364,0.8118057815011448,0.9096422103156551,0.9337454581442295,0.9198681937950445,0.8561876335111311,0.9335372582565274,0.8197591383594315,0.9482062624590163,0.644621655526007
Kalimantan Tengah,0.3825081037220654,0.7137041962515636,0.6597958492855289,0.913718650838347,0.9981623329683118,0.4972480898641687,0.9680747256760714,0.9052761746611795,0.7457809854265134,0.8753228102029266,0.4472009966215305,0.2908790604201104,0.31202659861548426,0.8084808800959776,0.29419714991996465,0.9013446945651338,0.72474175765366,0.6850394996201807,0.31236256147156843,0.9594390658844852,1.0000000000000002,0.7699305883143058,0.819019380838259,0.7830486525753663,0.9400784164709917,0.9120760139956211,0.46925437053976,0.6096700553215758,0.9009077380891952,0.7842811709989032,0.9829145898723898,0.9872949326928424,0.914053709421809,0.8129637567404315,0.9469471145143847,0.7867711871511839,0.9369427357490412,0.5339031380231561
